Company Name,Symbol,Short % of Float,Price,Market Cap,Exchange,Sector,Industry,Record Date
C3.ai Inc. Class A Common Stock,AI,28.74,22.04,2147357200.0,NY,Technology,Information Technology Services,2023-03-24
Virgin Galactic Holdings Inc,SPCE,25.92,3.27,787121700.0,NY,Industrials,Aerospace & Defense,2023-03-24
Seritage Growth Properties Class A,SRG,23.99,8.36,357473600.0,NY,Real Estate,REIT - Retail,2023-03-24
QuantumScape Corporation Class A Common Stock,QS,20.67,7.59,1970667600.0,NY,Consumer Cyclical,Auto Parts,2023-03-24
Childrens Place Inc (the,PLCE,24.17,32.32,474134400.0,NAS,Consumer Cyclical,Apparel Retail,2023-03-24
Penske Automotive Group Inc,PAG,20.19,140,11316200000.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-03-24
Oak Street Health Inc. Common Stock,OSH,20.37,38.85,9354303000.0,NY,Healthcare,Medical Care Facilities,2023-03-24
Par Technology Corporation,PAR,20.05,33.39,864133200.0,NY,Technology,Software - Application,2023-03-24
Relay Therapeutics Inc. - Common Stock,RLAY,21.25,16.01,1447784300.0,NAS,Healthcare,Biotechnology,2023-03-24
Root Inc. - common stock,ROOT,32.48,4.15,360593500.0,NAS,Financial Services,Insurance - Property & Casualty,2023-03-24
Sonic Automotive Inc,SAH,26.59,52.56,1554199200.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-03-24
Cassava Sciences Inc,SAVA,27.32,22.9,916229000.0,NAS,Healthcare,Biotechnology,2023-03-24
Sirius XM Holdings Inc,SIRI,24.36,3.99,16319100000.0,NAS,Communication Services,Broadcasting,2023-03-24
Rocket Companies Inc. Class A Common Stock,RKT,35.22,9.51,1297829700.0,NY,Financial Services,Mortgage Finance,2023-03-24
B. Riley Financial Inc,RILY,24.61,26.8,728692000.0,NAS,Financial Services,Financial Conglomerates,2023-03-24
Rocket Companies Inc. Class A Common Stock,RKT,30.88,8.66,1181830200.0,NY,Financial Services,Mortgage Finance,2023-04-12
Virgin Galactic Holdings Inc,SPCE,27.46,3.16,760643600.0,NY,Industrials,Aerospace & Defense,2023-04-12
Relay Therapeutics Inc. - Common Stock,RLAY,22.41,11.78,1065265400.0,NAS,Healthcare,Biotechnology,2023-04-12
Root Inc. - common stock,ROOT,33.27,3.87,336264300.0,NAS,Financial Services,Insurance - Property & Casualty,2023-04-12
Sonic Automotive Inc,SAH,25.73,51.84,1532908800.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-04-12
Cassava Sciences Inc,SAVA,30.02,21.9,876219000.0,NAS,Healthcare,Biotechnology,2023-04-12
Sirius XM Holdings Inc,SIRI,26.71,3.69,15092100000.0,NAS,Communication Services,Broadcasting,2023-04-12
SL Green Realty Corp,SLG,22.78,23.14,1629287400.0,NY,Real Estate,REIT - Office,2023-04-12
Amerco,UHAL,20.88,59.58,1168363800.0,NAS,Industrials,Rental & Leasing Services,2023-04-12
Springworks Therapeutics Inc,SWTX,25.21,24.04,1179402400.0,NAS,Healthcare,Biotechnology,2023-04-12
TG Therapeutics Inc. - Common Stock,TGTX,21.45,22.38,3166098600.0,NAS,Healthcare,Biotechnology,2023-04-12
Target Hospitality Corp,TH,21.4,12.58,1273599200.0,NAS,Energy,Oil & Gas Equipment & Services,2023-04-12
Trupanion Inc,TRUP,26.75,31.62,1248041400.0,NAS,Financial Services,Insurance - Specialty,2023-04-12
B. Riley Financial Inc,RILY,30.34,30.23,821953700.0,NAS,Financial Services,Financial Conglomerates,2023-04-12
Upstart Holdings Inc. - Common stock,UPST,38.41,14.51,1115819000.0,NAS,Financial Services,Credit Services,2023-04-12
UWM Holdings Corporation Class A Common Stock,UWMC,25.65,5.55,572260500.0,NY,Financial Services,Mortgage Finance,2023-04-12
Voya Financial Inc,VOYA,24.26,75.16,9111646800.0,NY,Financial Services,Financial Conglomerates,2023-04-12
Wayfair Inc Class A,W,37.87,35.81,2780288400.0,NY,Consumer Cyclical,Internet Retail,2023-04-12
C3.ai Inc. Class A Common Stock,AI,28.72,17.69,1723536700.0,NY,Technology,Information Technology Services,2023-04-12
Seritage Growth Properties Class A,SRG,23.67,7.68,328396800.0,NY,Real Estate,REIT - Retail,2023-04-12
QuantumScape Corporation Class A Common Stock,QS,21.23,7.29,1892775600.0,NY,Consumer Cyclical,Auto Parts,2023-04-12
Pacwest Bancorp,PACW,20.56,10.31,1205445200.0,NAS,Financial Services,Banks - Regional,2023-04-12
Phathom Pharmaceuticals Inc,PHAT,20.8,10.2,319566000.0,NAS,Healthcare,Biotechnology,2023-04-12
Allogene Therapeutics Inc,ALLO,54.27,5.6,792624000.0,NAS,Healthcare,Biotechnology,2023-04-12
Autonation Inc,AN,22.98,129.03,10634652600.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-04-12
Arcutis Biotherapeutics Inc. - Common stock,ARQT,34.54,13.37,671307700.0,NAS,Healthcare,Biotechnology,2023-04-12
Axsome Therapeutics Inc,AXSM,23.89,71.25,2676862500.0,NAS,Healthcare,Biotechnology,2023-04-12
Beam Therapeutics Inc. - Common Stock,BEAM,22.92,30.43,1904309400.0,NAS,Healthcare,Biotechnology,2023-04-12
Beyond Meat Inc,BYND,34.38,13.29,838067400.0,NAS,Consumer Defensive,Packaged Foods,2023-04-12
Celsius Holdings Inc,CELH,21.21,89.98,6492956800.0,NAS,Consumer Defensive,Beverages - Non-Alcoholic,2023-04-12
Chewy Inc Class A,CHWY,23.01,31.25,3256562500.0,NY,Consumer Cyclical,Internet Retail,2023-04-12
Cinemark Holdings Inc Cinemark Holdings Inc Comm,CNK,28.09,16.04,1917421600.0,NY,Communication Services,Entertainment,2023-04-12
Desktop Metal Inc. Class A Common Stock,DM,29.95,2.17,555042600.0,NY,Technology,Computer Hardware,2023-04-12
Fate Therapeutics Inc,FATE,29.95,6.03,567061200.0,NAS,Healthcare,Biotechnology,2023-04-12
Geo Group Inc (the) Reit,GEO,20.42,7.16,870870800.0,NY,Real Estate,REIT - Healthcare Facilities,2023-04-12
Hci Group Inc,HCI,23.26,53.25,451560000.0,NY,Financial Services,Insurance - Property & Casualty,2023-04-12
Helen of Troy Limited,HELE,20.77,82.98,2028861000.0,NAS,Consumer Defensive,Household & Personal Products,2023-04-12
Harmony Biosciences Holdings Inc. - Common Stock,HRMY,22.59,31.76,1807144000.0,NAS,Healthcare,Biotechnology,2023-04-12
Nordstrom Inc,JWN,20.67,15.21,2416869000.0,NY,Consumer Cyclical,Department Stores,2023-04-12
Kohls Corporation,KSS,20.46,21.44,3349571200.0,NY,Consumer Cyclical,Department Stores,2023-04-12
Kymera Therapeutics Inc. - Common Stock,KYMR,21.72,32.95,1483738500.0,NAS,Healthcare,Biotechnology,2023-04-12
Luminar Technologies Inc. - Class A Common Stock,LAZR,29.99,5.53,1297946300.0,NAS,Technology,Software - Application,2023-04-12
Lindblad Expeditions Holdings Inc,LIND,20.09,10.96,549424800.0,NAS,Consumer Cyclical,Travel Services,2023-04-12
Lemonade Inc. Common Stock,LMND,20.94,11.01,676124100.0,NY,Financial Services,Insurance - Property & Casualty,2023-04-12
The Lovesac Company,LOVE,37.43,26.74,401634800.0,NAS,Consumer Cyclical,Furnishings,2023-04-12
Maxeon Solar Technologies Ltd. - Ordinary Shares,MAXN,20.24,31.31,1344764500.0,NAS,Technology,Solar,2023-04-12
Penske Automotive Group Inc,PAG,20.63,136.9,11065627000.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-04-12
Par Technology Corporation,PAR,20.28,30.13,779764400.0,NY,Technology,Software - Application,2023-04-12
Childrens Place Inc (the,PLCE,24.52,30.3,444501000.0,NAS,Consumer Cyclical,Apparel Retail,2023-04-12
Kura Sushi Usa Inc - Class A,KRUS,26.14,66.89,496323800.0,NAS,Consumer Cyclical,Restaurants,2023-04-12
Zynex Inc,ZYXI,21.63,11.5,400775000.0,NAS,Healthcare,Medical Devices,2023-04-12
World Wrestling Entertainment Inc Class A Common,WWE,24.2,108.2,4897132000.0,NY,Communication Services,Entertainment,2023-04-12
Zynex Inc,ZYXI,21.23,9.63,335605500.0,NAS,Healthcare,Medical Devices,2023-04-25
Phathom Pharmaceuticals Inc,PHAT,27.49,11.99,375646700.0,NAS,Healthcare,Biotechnology,2023-04-25
Childrens Place Inc (the,PLCE,24.59,27.13,397997100.0,NAS,Consumer Cyclical,Apparel Retail,2023-04-25
QuantumScape Corporation Class A Common Stock,QS,21.35,6.23,1617557200.0,NY,Consumer Cyclical,Auto Parts,2023-04-25
B. Riley Financial Inc,RILY,33.59,39.2,1065848000.0,NAS,Financial Services,Financial Conglomerates,2023-04-25
Rocket Companies Inc. Class A Common Stock,RKT,29.94,8.27,1128606900.0,NY,Financial Services,Mortgage Finance,2023-04-25
Relay Therapeutics Inc. - Common Stock,RLAY,23.1,10.62,960366600.0,NAS,Healthcare,Biotechnology,2023-04-25
Root Inc. - common stock,ROOT,34.05,5.21,452696900.0,NAS,Financial Services,Insurance - Property & Casualty,2023-04-25
Sonic Automotive Inc,SAH,24.77,39.56,1169789200.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-04-25
Cassava Sciences Inc,SAVA,28.16,26.58,1063465800.0,NAS,Healthcare,Biotechnology,2023-04-25
SL Green Realty Corp,SLG,28.02,22.09,1555356900.0,NY,Real Estate,REIT - Office,2023-04-25
Virgin Galactic Holdings Inc,SPCE,25.85,4.09,984503900.0,NY,Industrials,Aerospace & Defense,2023-04-25
Seritage Growth Properties Class A,SRG,22.15,7.52,321555200.0,NY,Real Estate,REIT - Retail,2023-04-25
Springworks Therapeutics Inc,SWTX,23.93,25.44,1248086400.0,NAS,Healthcare,Biotechnology,2023-04-25
TG Therapeutics Inc. - Common Stock,TGTX,20.71,32.63,4616166100.0,NAS,Healthcare,Biotechnology,2023-04-25
Trupanion Inc,TRUP,27.14,24.22,955963400.0,NAS,Financial Services,Insurance - Specialty,2023-04-25
Amerco,UHAL,20.88,61.35,1203073500.0,NAS,Industrials,Rental & Leasing Services,2023-04-25
Upstart Holdings Inc. - Common stock,UPST,38.13,14.1,1084290000.0,NAS,Financial Services,Credit Services,2023-04-25
UWM Holdings Corporation Class A Common Stock,UWMC,25.87,5.83,601131300.0,NY,Financial Services,Mortgage Finance,2023-04-25
Voya Financial Inc,VOYA,20.63,70.55,8552776500.0,NY,Financial Services,Financial Conglomerates,2023-04-25
Wayfair Inc Class A,W,31.69,36.64,2844729600.0,NY,Consumer Cyclical,Internet Retail,2023-04-25
World Wrestling Entertainment Inc Class A Common,WWE,25.39,105.78,4787602800.0,NY,Communication Services,Entertainment,2023-04-25
Maxeon Solar Technologies Ltd. - Ordinary Shares,MAXN,21.0,27.4,1176830000.0,NAS,Technology,Solar,2023-04-25
The Lovesac Company,LOVE,35.87,25.94,389618800.0,NAS,Consumer Cyclical,Furnishings,2023-04-25
Sirius XM Holdings Inc,SIRI,27.71,3.42,13987800000.0,NAS,Communication Services,Broadcasting,2023-04-25
Lindblad Expeditions Holdings Inc,LIND,20.14,10.97,549926100.0,NAS,Consumer Cyclical,Travel Services,2023-04-25
Lemonade Inc. Common Stock,LMND,21.32,16.39,1006509900.0,NY,Financial Services,Insurance - Property & Casualty,2023-04-25
Allogene Therapeutics Inc,ALLO,54.45,6.23,881794200.0,NAS,Healthcare,Biotechnology,2023-04-25
Autonation Inc,AN,22.32,135.13,11137414600.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-04-25
Arcutis Biotherapeutics Inc. - Common stock,ARQT,35.06,14.82,744112200.0,NAS,Healthcare,Biotechnology,2023-04-25
Axsome Therapeutics Inc,AXSM,22.81,76.74,2883121800.0,NAS,Healthcare,Biotechnology,2023-04-25
Beam Therapeutics Inc. - Common Stock,BEAM,21.68,34.51,2159635800.0,NAS,Healthcare,Biotechnology,2023-04-25
Big Lots Inc,BIG,36.09,8.83,305871200.0,NY,Consumer Defensive,Discount Stores,2023-04-25
Celsius Holdings Inc,CELH,21.34,107.12,7729779200.0,NAS,Consumer Defensive,Beverages - Non-Alcoholic,2023-04-25
Chewy Inc Class A,CHWY,23.27,33.01,3439972100.0,NY,Consumer Cyclical,Internet Retail,2023-04-25
Cinemark Holdings Inc Cinemark Holdings Inc Comm,CNK,25.76,16.95,2026203000.0,NY,Communication Services,Entertainment,2023-04-25
Desktop Metal Inc. Class A Common Stock,DM,30.51,1.75,447615000.0,NY,Technology,Computer Hardware,2023-04-25
Beyond Meat Inc,BYND,34.59,12.24,771854400.0,NAS,Consumer Defensive,Packaged Foods,2023-04-25
C3.ai Inc. Class A Common Stock,AI,35.45,19.88,1936908400.0,NY,Technology,Information Technology Services,2023-04-25
Ebix Inc,EBIX,20.4,16.62,514222800.0,NAS,Technology,Software - Application,2023-04-25
Kymera Therapeutics Inc. - Common Stock,KYMR,21.8,27.73,1248681900.0,NAS,Healthcare,Biotechnology,2023-04-25
Kura Sushi Usa Inc - Class A,KRUS,24.73,66.3,491946000.0,NAS,Consumer Cyclical,Restaurants,2023-04-25
Igm Biosciences Inc,IGMS,22.82,12.73,325760700.0,NAS,Healthcare,Biotechnology,2023-04-25
Harmony Biosciences Holdings Inc. - Common Stock,HRMY,24.07,36.59,2081971000.0,NAS,Healthcare,Biotechnology,2023-04-25
Luminar Technologies Inc. - Class A Common Stock,LAZR,31.3,6.33,1485714300.0,NAS,Technology,Software - Application,2023-04-25
Hci Group Inc,HCI,23.28,50.48,428070400.0,NY,Financial Services,Insurance - Property & Casualty,2023-04-25
Guess Inc,GES,20.89,18.14,1177648800.0,NY,Consumer Cyclical,Apparel Retail,2023-04-25
Fate Therapeutics Inc,FATE,29.46,5.39,506875600.0,NAS,Healthcare,Biotechnology,2023-04-25
Helen of Troy Limited,HELE,22.64,94.65,2314192500.0,NAS,Consumer Defensive,Household & Personal Products,2023-04-25
Root Inc. - common stock,ROOT,34.17,4.48,389267200.0,NAS,Financial Services,Insurance - Property & Casualty,2023-05-09
Lemonade Inc. Common Stock,LMND,20.81,16.98,1042741800.0,NY,Financial Services,Insurance - Property & Casualty,2023-05-09
The Lovesac Company,LOVE,35.87,21.33,320376600.0,NAS,Consumer Cyclical,Furnishings,2023-05-09
Maxeon Solar Technologies Ltd. - Ordinary Shares,MAXN,21.6,28.55,1226222500.0,NAS,Technology,Solar,2023-05-09
Penske Automotive Group Inc,PAG,20.2,141.83,11464118900.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-05-09
Phathom Pharmaceuticals Inc,PHAT,33.11,11.7,366561000.0,NAS,Healthcare,Biotechnology,2023-05-09
B. Riley Financial Inc,RILY,27.69,36.88,1002767200.0,NAS,Financial Services,Financial Conglomerates,2023-05-09
Rocket Companies Inc. Class A Common Stock,RKT,30.41,7.84,1069924800.0,NY,Financial Services,Mortgage Finance,2023-05-09
Relay Therapeutics Inc. - Common Stock,RLAY,23.38,11.57,1046275100.0,NAS,Healthcare,Biotechnology,2023-05-09
Sonic Automotive Inc,SAH,23.0,41.75,1234547500.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-05-09
Wayfair Inc Class A,W,30.02,35.06,2722058400.0,NY,Consumer Cyclical,Internet Retail,2023-05-09
Sirius XM Holdings Inc,SIRI,30.0,3.53,14437700000.0,NAS,Communication Services,Broadcasting,2023-05-09
SL Green Realty Corp,SLG,28.25,22.27,1568030700.0,NY,Real Estate,REIT - Office,2023-05-09
Virgin Galactic Holdings Inc,SPCE,24.49,4.41,1061531100.0,NY,Industrials,Aerospace & Defense,2023-05-09
Seritage Growth Properties Class A,SRG,20.07,7.25,310010000.0,NY,Real Estate,REIT - Retail,2023-05-09
Springworks Therapeutics Inc,SWTX,24.73,32.27,1583166200.0,NAS,Healthcare,Biotechnology,2023-05-09
Trupanion Inc,TRUP,31.21,21.38,843868600.0,NAS,Financial Services,Insurance - Specialty,2023-05-09
Amerco,UHAL,20.74,62.84,1232292400.0,NAS,Industrials,Rental & Leasing Services,2023-05-09
Upstart Holdings Inc. - Common stock,UPST,33.34,26.65,2049385000.0,NAS,Financial Services,Credit Services,2023-05-09
UWM Holdings Corporation Class A Common Stock,UWMC,25.91,4.89,504207900.0,NY,Financial Services,Mortgage Finance,2023-05-09
Luminar Technologies Inc. - Class A Common Stock,LAZR,29.73,6.3,1478673000.0,NAS,Technology,Software - Application,2023-05-09
Cassava Sciences Inc,SAVA,27.98,25.25,1010252500.0,NAS,Healthcare,Biotechnology,2023-05-09
Kymera Therapeutics Inc. - Common Stock,KYMR,21.71,29.31,1319829300.0,NAS,Healthcare,Biotechnology,2023-05-09
Allogene Therapeutics Inc,ALLO,53.33,5.69,805362600.0,NAS,Healthcare,Biotechnology,2023-05-09
Kura Sushi Usa Inc - Class A,KRUS,24.73,73.46,545073200.0,NAS,Consumer Cyclical,Restaurants,2023-05-09
World Wrestling Entertainment Inc Class A Common,WWE,24.84,102.13,4622403800.0,NY,Communication Services,Entertainment,2023-05-09
C3.ai Inc. Class A Common Stock,AI,32.91,27.85,2713425500.0,NY,Technology,Information Technology Services,2023-05-09
Autonation Inc,AN,20.39,137.37,11322035400.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-05-09
Arcutis Biotherapeutics Inc. - Common stock,ARQT,35.15,8.99,451387900.0,NAS,Healthcare,Biotechnology,2023-05-09
Axsome Therapeutics Inc,AXSM,23.25,68.73,2582186100.0,NAS,Healthcare,Biotechnology,2023-05-09
Beam Therapeutics Inc. - Common Stock,BEAM,21.44,33.38,2088920400.0,NAS,Healthcare,Biotechnology,2023-05-09
Beyond Meat Inc,BYND,33.64,11.44,721406400.0,NAS,Consumer Defensive,Packaged Foods,2023-05-09
Celsius Holdings Inc,CELH,23.33,131.43,9483988800.0,NAS,Consumer Defensive,Beverages - Non-Alcoholic,2023-05-09
Chewy Inc Class A,CHWY,24.28,31.58,3290951800.0,NY,Consumer Cyclical,Internet Retail,2023-05-09
Kohls Corporation,KSS,20.0,20.72,3237085600.0,NY,Consumer Cyclical,Department Stores,2023-05-09
Cinemark Holdings Inc Cinemark Holdings Inc Comm,CNK,26.33,16.97,2028593800.0,NY,Communication Services,Entertainment,2023-05-09
Desktop Metal Inc. Class A Common Stock,DM,31.02,1.75,447615000.0,NY,Technology,Computer Hardware,2023-05-09
Ebix Inc,EBIX,20.14,18.43,570224200.0,NAS,Technology,Software - Application,2023-05-09
Ehang Holdings Limited - Ads,EH,45.65,10.61,339732200.0,NAS,Industrials,Aerospace & Defense,2023-05-09
Fate Therapeutics Inc,FATE,30.67,5.34,502173600.0,NAS,Healthcare,Biotechnology,2023-05-09
Guess Inc,GES,24.06,17.37,1127660400.0,NY,Consumer Cyclical,Apparel Retail,2023-05-09
Hci Group Inc,HCI,22.28,56.08,475558400.0,NY,Financial Services,Insurance - Property & Casualty,2023-05-09
Helen of Troy Limited,HELE,25.53,98.7,2413215000.0,NAS,Consumer Defensive,Household & Personal Products,2023-05-09
HighPeak Energy Inc. - Common Stock,HPK,22.29,14.93,1383249000.0,NAS,Energy,Oil & Gas E&P,2023-05-09
Harmony Biosciences Holdings Inc. - Common Stock,HRMY,24.44,36.32,2066608000.0,NAS,Healthcare,Biotechnology,2023-05-09
Nordstrom Inc,JWN,22.46,16.15,2566235000.0,NY,Consumer Cyclical,Department Stores,2023-05-09
Dish Network Corporation - Class A,DISH,20.22,6.23,1799909300.0,NAS,Communication Services,Entertainment,2023-05-09
Zynex Inc,ZYXI,21.47,9.55,332817500.0,NAS,Healthcare,Medical Devices,2023-05-09
Allogene Therapeutics Inc,ALLO,52.81,5.64,798285600.0,NAS,Healthcare,Biotechnology,2023-05-24
Anaptysbio Inc,ANAB,20.16,18.7,511819000.0,NAS,Healthcare,Biotechnology,2023-05-24
Amyris Inc,AMRS,23.28,1.26,371700000.0,NAS,Basic Materials,Specialty Chemicals,2023-05-24
C3.ai Inc. Class A Common Stock,AI,28.98,36.99,3603935700.0,NY,Technology,Information Technology Services,2023-05-24
Autonation Inc,AN,20.74,141.97,11701167400.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-05-24
Phathom Pharmaceuticals Inc,PHAT,24.7,13,407290000.0,NAS,Healthcare,Biotechnology,2023-05-24
Arcutis Biotherapeutics Inc. - Common stock,ARQT,33.67,9.94,499087400.0,NAS,Healthcare,Biotechnology,2023-05-24
Penske Automotive Group Inc,PAG,20.78,149.85,12112375500.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-05-24
Plug Power Inc,PLUG,21.87,9.18,5214336000.0,NAS,Industrials,Electrical Equipment & Parts,2023-05-24
B. Riley Financial Inc,RILY,27.68,37.29,1013915100.0,NAS,Financial Services,Financial Conglomerates,2023-05-24
Rocket Companies Inc. Class A Common Stock,RKT,27.99,8.95,1221406500.0,NY,Financial Services,Mortgage Finance,2023-05-24
Relay Therapeutics Inc. - Common Stock,RLAY,25.78,10.75,972122500.0,NAS,Healthcare,Biotechnology,2023-05-24
Root Inc. - common stock,ROOT,31.73,5.62,488321800.0,NAS,Financial Services,Insurance - Property & Casualty,2023-05-24
Sonic Automotive Inc,SAH,21.06,45.76,1353123200.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-05-24
Cassava Sciences Inc,SAVA,25.9,24.31,972643100.0,NAS,Healthcare,Biotechnology,2023-05-24
Sirius XM Holdings Inc,SIRI,28.93,3.82,15603350000.0,NAS,Communication Services,Broadcasting,2023-05-24
Pacwest Bancorp,PACW,24.09,8.53,997327600.0,NAS,Financial Services,Banks - Regional,2023-05-24
SL Green Realty Corp,SLG,27.12,26.9,1894029000.0,NY,Real Estate,REIT - Office,2023-05-24
Springworks Therapeutics Inc,SWTX,25.25,27.25,1336885000.0,NAS,Healthcare,Biotechnology,2023-05-24
Trupanion Inc,TRUP,30.86,25.34,1000169800.0,NAS,Financial Services,Insurance - Specialty,2023-05-24
Amerco,UHAL,22.47,55.26,1083648600.0,NY,Industrials,Rental & Leasing Services,2023-05-24
Upstart Holdings Inc. - Common stock,UPST,35.97,32.09,2467721000.0,NAS,Financial Services,Credit Services,2023-05-24
UWM Holdings Corporation Class A Common Stock,UWMC,24.83,5.4,556794000.0,NY,Financial Services,Mortgage Finance,2023-05-24
Vuzix Corporation,VUZI,25.91,4.89,308412300.0,NAS,Technology,Consumer Electronics,2023-05-24
Wayfair Inc Class A,W,31.3,52.1,4045044000.0,NY,Consumer Cyclical,Internet Retail,2023-05-24
Winnebago Industries Inc,WGO,20.08,65.63,2205168000.0,NY,Consumer Cyclical,Recreational Vehicles,2023-05-24
Zynex Inc,ZYXI,23.63,8.76,305286000.0,NAS,Healthcare,Medical Devices,2023-05-24
Seritage Growth Properties Class A,SRG,20.94,8.54,365170400.0,NY,Real Estate,REIT - Retail,2023-05-24
Sunnova Energy International Inc,NOVA,25.03,17.49,1958355300.0,NY,Technology,Solar,2023-05-24
Virgin Galactic Holdings Inc,SPCE,23.95,4.03,970061300.0,NY,Industrials,Aerospace & Defense,2023-05-24
The Lovesac Company,LOVE,34.36,22.61,339602200.0,NAS,Consumer Cyclical,Furnishings,2023-05-24
Maxeon Solar Technologies Ltd. - Ordinary Shares,MAXN,21.78,27.32,1173394000.0,NAS,Technology,Solar,2023-05-24
Axsome Therapeutics Inc,AXSM,21.95,73.74,2770411800.0,NAS,Healthcare,Biotechnology,2023-05-24
Beam Therapeutics Inc. - Common Stock,BEAM,21.04,32.21,2015701800.0,NAS,Healthcare,Biotechnology,2023-05-24
Beyond Meat Inc,BYND,43.39,12.06,760503600.0,NAS,Consumer Defensive,Packaged Foods,2023-05-24
Celsius Holdings Inc,CELH,24.58,139.19,10043950400.0,NAS,Consumer Defensive,Beverages - Non-Alcoholic,2023-05-24
Cinemark Holdings Inc Cinemark Holdings Inc Comm,CNK,25.72,18.66,2230616400.0,NY,Communication Services,Entertainment,2023-05-24
Desktop Metal Inc. Class A Common Stock,DM,30.03,2.21,565273800.0,NY,Technology,Computer Hardware,2023-05-24
Ebix Inc,EBIX,20.06,22.22,687486800.0,NAS,Technology,Software - Application,2023-05-24
Ehang Holdings Limited - Ads,EH,43.88,11.03,353180600.0,NAS,Industrials,Aerospace & Defense,2023-05-24
Fate Therapeutics Inc,FATE,31.55,4.87,457974800.0,NAS,Healthcare,Biotechnology,2023-05-24
Dish Network Corporation - Class A,DISH,22.58,6.55,1892360500.0,NAS,Communication Services,Entertainment,2023-05-24
Guess Inc,GES,22.98,20.77,1348388400.0,NY,Consumer Cyclical,Apparel Retail,2023-05-24
Hci Group Inc,HCI,21.57,58.49,495995200.0,NY,Financial Services,Insurance - Property & Casualty,2023-05-24
Helen of Troy Limited,HELE,26.06,99.25,2426662500.0,NAS,Consumer Defensive,Household & Personal Products,2023-05-24
Harmony Biosciences Holdings Inc. - Common Stock,HRMY,23.77,34.95,1988655000.0,NAS,Healthcare,Biotechnology,2023-05-24
Nordstrom Inc,JWN,22.26,19.74,3136686000.0,NY,Consumer Cyclical,Department Stores,2023-05-24
Kura Sushi Usa Inc - Class A,KRUS,22.54,84.27,625283400.0,NAS,Consumer Cyclical,Restaurants,2023-05-24
Kohls Corporation,KSS,20.13,22.06,3446433800.0,NY,Consumer Cyclical,Department Stores,2023-05-24
Kymera Therapeutics Inc. - Common Stock,KYMR,21.28,22.75,1024432500.0,NAS,Healthcare,Biotechnology,2023-05-24
Luminar Technologies Inc. - Class A Common Stock,LAZR,27.91,6.46,1516226600.0,NAS,Technology,Software - Application,2023-05-24
Geo Group Inc (the) Reit,GEO,20.79,7.55,918306500.0,NY,Real Estate,REIT - Healthcare Facilities,2023-05-24
Lemonade Inc. Common Stock,LMND,27.59,19.42,1192582200.0,NY,Financial Services,Insurance - Property & Casualty,2023-05-24
Childrens Place Inc (the,PLCE,30.44,22.11,324353700.0,NAS,Consumer Cyclical,Apparel Retail,2023-06-09
Kohls Corporation,KSS,22.43,22.68,3543296400.0,NY,Consumer Cyclical,Department Stores,2023-06-09
Luminar Technologies Inc. - Class A Common Stock,LAZR,26.92,6.33,1485714300.0,NAS,Technology,Software - Application,2023-06-09
Lemonade Inc. Common Stock,LMND,28.15,16.91,1038443100.0,NY,Financial Services,Insurance - Property & Casualty,2023-06-09
The Lovesac Company,LOVE,33.94,26.39,396377800.0,NAS,Consumer Cyclical,Furnishings,2023-06-09
Phathom Pharmaceuticals Inc,PHAT,20.16,12.4,388492000.0,NAS,Healthcare,Biotechnology,2023-06-09
Sunnova Energy International Inc,NOVA,25.0,19.04,2131908800.0,NY,Technology,Solar,2023-06-09
Pacwest Bancorp,PACW,25.05,7.93,927175600.0,NAS,Financial Services,Banks - Regional,2023-06-09
Penske Automotive Group Inc,PAG,20.59,163.14,13186606200.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-06-09
Kura Sushi Usa Inc - Class A,KRUS,22.92,89.35,662977000.0,NAS,Consumer Cyclical,Restaurants,2023-06-09
Maxeon Solar Technologies Ltd. - Ordinary Shares,MAXN,20.58,26.22,1126149000.0,NAS,Technology,Solar,2023-06-09
Nordstrom Inc,JWN,23.44,19.3,3066770000.0,NY,Consumer Cyclical,Department Stores,2023-06-09
Dish Network Corporation - Class A,DISH,22.81,6.37,1840356700.0,NAS,Communication Services,Entertainment,2023-06-09
Harmony Biosciences Holdings Inc. - Common Stock,HRMY,23.92,34.89,1985241000.0,NAS,Healthcare,Biotechnology,2023-06-09
Helen of Troy Limited,HELE,25.22,102.4,2503680000.0,NAS,Consumer Defensive,Household & Personal Products,2023-06-09
Hci Group Inc,HCI,20.67,60.5,513040000.0,NY,Financial Services,Insurance - Property & Casualty,2023-06-09
Guess Inc,GES,27.24,19.79,1284766800.0,NY,Consumer Cyclical,Apparel Retail,2023-06-09
Geo Group Inc (the) Reit,GEO,20.67,7.21,876952300.0,NY,Real Estate,REIT - Healthcare Facilities,2023-06-09
